,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_date,artists,sample_30s,name
815,0.715,0.296,0.0,-15.082,1,0.0715,0.885,0.0159,0.0552,0.782,102.969,audio_features,0Eb41TbSJMswzv1ZBlkwOt,spotify:track:0Eb41TbSJMswzv1ZBlkwOt,https://api.spotify.com/v1/tracks/0Eb41TbSJMswzv1ZBlkwOt,https://api.spotify.com/v1/audio-analysis/0Eb41TbSJMswzv1ZBlkwOt,194880,4,,,,https://p.scdn.co/mp3-preview/6f57e89ba0a3297bda97286ca651249d323bda02?cid=f0967aa1c7064a36856282c85b3644a4,"Patty Cake, Patty Cake"
816,0.646,0.326,10.0,-15.245,1,0.0395,0.987,0.798,0.122,0.804,113.918,audio_features,6cZfUYHBa8LJ6GcnWUQ7B6,spotify:track:6cZfUYHBa8LJ6GcnWUQ7B6,https://api.spotify.com/v1/tracks/6cZfUYHBa8LJ6GcnWUQ7B6,https://api.spotify.com/v1/audio-analysis/6cZfUYHBa8LJ6GcnWUQ7B6,199645,4,,,,https://p.scdn.co/mp3-preview/cb6ebfb6b4f7aca00cba8e2c7aed6a3a99fa0085?cid=f0967aa1c7064a36856282c85b3644a4,Wolverine Blues - 1990 Remastered - Take 1
817,0.78,0.425,5.0,-12.282,0,0.059,0.828,0.359,0.215,0.873,112.156,audio_features,2P1X7MLycJr7BFRuByn53z,spotify:track:2P1X7MLycJr7BFRuByn53z,https://api.spotify.com/v1/tracks/2P1X7MLycJr7BFRuByn53z,https://api.spotify.com/v1/audio-analysis/2P1X7MLycJr7BFRuByn53z,186200,4,,,,https://p.scdn.co/mp3-preview/2cb3afd7fca9a141c3d943c975ad88e7062f429e?cid=f0967aa1c7064a36856282c85b3644a4,Dinah
818,0.639,0.211,0.0,-9.139,0,0.0558,0.97,0.675,0.43,0.644,95.574,audio_features,5trUr8XzpbSzQo07ZnQnor,spotify:track:5trUr8XzpbSzQo07ZnQnor,https://api.spotify.com/v1/tracks/5trUr8XzpbSzQo07ZnQnor,https://api.spotify.com/v1/audio-analysis/5trUr8XzpbSzQo07ZnQnor,188907,4,,,,https://p.scdn.co/mp3-preview/9b8dc3bd32033e024fa7c51399becfc49156e939?cid=f0967aa1c7064a36856282c85b3644a4,Wild Man Blues
819,0.85,0.113,0.0,-18.821,1,0.0642,0.722,1.82e-06,0.146,0.686,141.788,audio_features,2nMIbw9NAjPGzkZa7c8Bre,spotify:track:2nMIbw9NAjPGzkZa7c8Bre,https://api.spotify.com/v1/tracks/2nMIbw9NAjPGzkZa7c8Bre,https://api.spotify.com/v1/audio-analysis/2nMIbw9NAjPGzkZa7c8Bre,165573,4,,,,https://p.scdn.co/mp3-preview/6cfeae11e77aa0860a9cb64f40119219b4d16c6c?cid=f0967aa1c7064a36856282c85b3644a4,All That Meat And No Potatoes
820,0.889,0.266,3.0,-13.342,1,0.0674,0.982,0.534,0.0885,0.871,105.866,audio_features,4AEoPGkwHI5f7SC875nUrG,spotify:track:4AEoPGkwHI5f7SC875nUrG,https://api.spotify.com/v1/tracks/4AEoPGkwHI5f7SC875nUrG,https://api.spotify.com/v1/audio-analysis/4AEoPGkwHI5f7SC875nUrG,198520,4,,,,https://p.scdn.co/mp3-preview/aa0ac2f2775c764063b9afeb38b08e4572446c82?cid=f0967aa1c7064a36856282c85b3644a4,Horses - Take 2
821,0.645,0.285,0.0,-14.223,0,0.121,0.912,0.000108,0.104,0.64,129.422,audio_features,00WwIdBVbLYRNbDpA4n9I5,spotify:track:00WwIdBVbLYRNbDpA4n9I5,https://api.spotify.com/v1/tracks/00WwIdBVbLYRNbDpA4n9I5,https://api.spotify.com/v1/audio-analysis/00WwIdBVbLYRNbDpA4n9I5,190400,4,,,,https://p.scdn.co/mp3-preview/87de314911da04da3f16298c571e59d4a9b61559?cid=f0967aa1c7064a36856282c85b3644a4,Ain't Nothin' To It
822,0.615,0.0754,2.0,-21.62,1,0.0389,0.926,0.0796,0.109,0.516,91.528,audio_features,4FEHNITJSMx4lMq7YU0ZH1,spotify:track:4FEHNITJSMx4lMq7YU0ZH1,https://api.spotify.com/v1/tracks/4FEHNITJSMx4lMq7YU0ZH1,https://api.spotify.com/v1/audio-analysis/4FEHNITJSMx4lMq7YU0ZH1,187600,4,,,,https://p.scdn.co/mp3-preview/1409e5d87ef0dff90a7abd43b8de76882d689e18?cid=f0967aa1c7064a36856282c85b3644a4,Squeeze Me
823,0.802,0.348,3.0,-15.926,1,0.105,0.89,0.642,0.309,0.837,118.104,audio_features,5GXHilIWPNgswL89WQGeyI,spotify:track:5GXHilIWPNgswL89WQGeyI,https://api.spotify.com/v1/tracks/5GXHilIWPNgswL89WQGeyI,https://api.spotify.com/v1/audio-analysis/5GXHilIWPNgswL89WQGeyI,136413,4,,,,https://p.scdn.co/mp3-preview/b5746ce13c460aa714542ce2f040ad870d24a70b?cid=f0967aa1c7064a36856282c85b3644a4,I'm Crazy 'Bout My Baby
824,0.562,0.179,0.0,-16.708,1,0.049,0.991,0.793,0.101,0.542,166.007,audio_features,7bqaKsfrVZtHOoaV78i7N9,spotify:track:7bqaKsfrVZtHOoaV78i7N9,https://api.spotify.com/v1/tracks/7bqaKsfrVZtHOoaV78i7N9,https://api.spotify.com/v1/audio-analysis/7bqaKsfrVZtHOoaV78i7N9,180320,4,,,,https://p.scdn.co/mp3-preview/97af9f3c0b9be8112c251ea8d32e76ef09e43e21?cid=f0967aa1c7064a36856282c85b3644a4,"Ain't Misbehavin' - (from the musical comedy ""Connie's Hot Chocolates"")"
